nseg,cap_ini,prob_ruina_seed_02,prob_ruina_seed_20,prob_ruina_seed_200
50,0.0,97.28,96.88,97.14
80,0.0,96.88,96.64,97.14
100,0.0,96.76,96.46000000000001,96.6
50,10000.0,96.02000000000001,96.08,95.92
80,10000.0,96.08,95.06,95.82000000000001
100,10000.0,95.7,95.38,96.28
50,30000.0,93.92,94.0,93.60000000000001
80,30000.0,93.47999999999999,94.14,93.62
100,30000.0,93.34,93.44,93.32000000000001
50,50000.0,90.96,91.24,91.96
80,50000.0,91.06,90.9,90.68
100,50000.0,90.3,91.14,91.3
50,70000.0,88.82,89.05999999999999,88.34
80,70000.0,88.84,89.24,88.48
100,70000.0,88.86,88.74,89.25999999999999
50,100000.0,84.38,85.1,84.6
80,100000.0,85.08,85.44,84.78
100,100000.0,84.44,84.7,84.84
50,500000.0,44.800000000000004,45.86,45.82
80,500000.0,45.22,44.74,45.440000000000005
100,500000.0,44.82,44.32,44.28
50,1.0e6,14.799999999999999,16.2,13.8
80,1.0e6,13.96,13.94,14.299999999999999
100,1.0e6,13.919999999999998,14.64,14.62
