nseg,cap_ini,prob_ruina_seed_02,prob_ruina_seed_20,prob_ruina_seed_200
50,0.0,97.103,97.09299999999999,97.10600000000001
80,0.0,96.843,96.866,96.809
100,0.0,96.699,96.745,96.67
50,10000.0,95.891,95.98299999999999,96.004
80,10000.0,95.768,95.8,95.695
100,10000.0,95.658,95.563,95.677
50,30000.0,93.45,93.427,93.611
80,30000.0,93.426,93.573,93.395
100,30000.0,93.31099999999999,93.438,93.542
50,50000.0,91.032,91.135,90.884
80,50000.0,90.85600000000001,91.08699999999999,91.04100000000001
100,50000.0,91.159,90.86800000000001,90.962
50,70000.0,88.532,88.553,88.672
80,70000.0,88.741,88.669,88.49900000000001
100,70000.0,88.494,88.511,88.445
50,100000.0,84.95,85.0,85.059
80,100000.0,84.994,84.95899999999999,84.925
100,100000.0,85.052,85.109,85.18599999999999
50,500000.0,44.5,44.382,44.702999999999996
80,500000.0,44.714999999999996,44.964,44.626
100,500000.0,44.940000000000005,44.724000000000004,45.094
50,1.0e6,14.610999999999999,14.418000000000001,14.587
80,1.0e6,14.556,14.618999999999998,14.69
100,1.0e6,14.605,14.709,14.707
